key,fullName,email,passportNumber,dateOfBirth,specialNeeds
# base entity,"","","","",""
passenger-00,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
# fullName - standard variations,"","","","",""
passenger-01,L,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-02,Lo,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-05,โลเร็ม อิปซัม,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-06,لوريم إيبسوم,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-07,洛伦·伊普森,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-08,<marquee>Hacked</marquee>,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-09,' or 'A' = 'A,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
# email - standard variations,"","","","",""
passenger-10,Santiago Fernandez,acme@lorem-ipsum.org,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-11,Santiago Fernandez,acme:password@lorem-ipsum.org,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-12,Santiago Fernandez,a@b.e,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-13,Santiago Fernandez,a@b.es,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
passenger-14,Santiago Fernandez,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,X9A7B2C,2003/10/29 10:00,Alergico a los cacahuetes
# passportNumber - standard variations,"","","","",""
# dateOfBirth - standard variations,"","","","",""
passenger-15,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,01/01/1950 0:00,Alergico a los cacahuetes
passenger-16,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,01/01/1950 0:01,Alergico a los cacahuetes
passenger-17,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,31/12/2024 23:59,Alergico a los cacahuetes
passenger-18,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,01/01/2025 0:00,Alergico a los cacahuetes
# specialNeeds - standard variations,"","","","",""
passenger-19,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,
passenger-20,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,L
passenger-21,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,Lo
passenger-22,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing"
passenger-23,Santiago Fernandez,sanferrom@alum.us.es,X9A7B2C,2003/10/29 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing*"
