key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-agent-01,true,"UserIdentity{name: 'Guillermo', surname: 'García', email: 'guille@acme.com'}",agent1,agent1
user-account-agent-02,true,"UserIdentity{name: 'Benito', surname: 'Gonzalez', email: 'benito@acme.com'}",agent2,agent2
user-account-agent-03,true,"UserIdentity{name: 'Tomas', surname: 'León', email: 'tomas@acme.com'}",manager3,manager3
user-account-customer-01,true,"UserIdentity{name: 'Santiago', surname: 'Fernández', email: 'sanferrom@alum.us.es'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Pepito', surname: 'Pérez', email: 'peperez@acme.es'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Xavier', surname: 'Hernández', email: 'hola@gmail.com'}",customer3,customer3
user-account-flightCrewMember-01,true,"UserIdentity{name: 'Claudio', surname: 'Cortés', email: 'clacorcar@alum.us.es'}",member1,member1
user-account-flightCrewMember-02,true,"UserIdentity{name: 'Juan', surname: 'Jimenez', email: 'juanito@acme.es'}",member2,member2
user-account-flightCrewMember-03,true,"UserIdentity{name: 'Manuel', surname: 'Garrido', email: 'garrido@gmail.com'}",member3,member3
user-account-flightCrewMember-04,true,"UserIdentity{name: 'Marco', surname: 'Reus', email: 'dortmund@gmail.com'}",member4,member4
user-account-flightCrewMember-05,true,"UserIdentity{name: 'Paco', surname: 'García', email: 'paco@gmail.com'}",member,member
user-account-technician-01,true,"UserIdentity{name: 'David', surname: 'Delgado', email: 'daviddelgado@gmail.com'}",technician1,technician1
user-account-technician-02,true,"UserIdentity{name: 'Antonio', surname: 'Delgado', email: 'antoniodelgado@gmail.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'Fulanito', surname: 'GarcÃ­a', email: 'fulanitogarcia@gmail.com'}",technician3,technician3
